station, Month Year,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (°F),Avg Min Air Temp (°F),Avg Air Temp (°F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (°F),Avg Wind Speed (mph),Avg Soil Temp (°F)
78,Dec 2014,1.47,1.47,,3.90 K,3.90,K,212,212,,11.0 K,11.0,K,66.4 K,66.4,K,45.3 K,45.3,K,54.5 K,54.5,K,95,95,,48,48,,73 K,73,K,45.7 K,45.7,K,1.9,1.9,,56.5,56.5,
78,Tots/Avgs,1.47,1.47,,3.9,3.9,,212,212,,11.0,11.0,,66.4,66.4,,45.3,45.3,,54.5,54.5,,95,95,,48,48,,73,73,,45.7,45.7,,1.9,1.9,,56.5,56.5,
78,Jan 2015,2.09 K,2.09,K,1.07 K,1.07,K,255,255,,9.3 K,9.3,K,71.9,71.9,,44.5 K,44.5,K,56.7 K,56.7,K,87,87,,35,35,,60 K,60,K,41.6 K,41.6,K,1.9,1.9,,53.3,53.3,
78,Feb 2015,2.65 K,2.65,K,0.62 K,0.62,K,337 K,337,K,11.1 K,11.1,K,74.2 K,74.2,K,47.0,47.0,,59.5 K,59.5,K,92 K,92,K,39 K,39,K,65 K,65,K,46.7 K,46.7,K,2.0 K,2.0,K,56.8 K,56.8,K
78,Mar 2015,4.62 K,4.62,K,0.23 K,0.23,K,468 K,468,K,10.7,10.7,,79.6 K,79.6,K,48.4 K,48.4,K,63.4 K,63.4,K,87,87,,31,31,,55 L,55,L,45.6 L,45.6,L,2.1,2.1,,60.9,60.9,
78,Apr 2015,5.18,5.18,,0.48 K,0.48,K,543,543,,10.2 K,10.2,K,76.7,76.7,,47.2,47.2,,61.9 K,61.9,K,89,89,,33,33,,55 K,55,K,44.2 K,44.2,K,2.3,2.3,,64.1,64.1,
78,May 2015,4.42,4.42,,1.01 K,1.01,K,471,471,,13.0,13.0,,73.1,73.1,,52.1,52.1,,61.9,61.9,,92,92,,50,50,,69,69,,51.4,51.4,,2.5 K,2.5,K,65.4,65.4,
78,Jun 2015,5.74 K,5.74,K,0.03,0.03,,576,576,,16.9,16.9,,85.6 K,85.6,K,59.5 K,59.5,K,71.6 K,71.6,K,92,92,,41,41,,64 K,64,K,58.6 K,58.6,K,2.5 K,2.5,K,71.5,71.5,
78,Jul 2015,6.01 K,6.01,K,0.77,0.77,,587 K,587,K,19.1 K,19.1,K,85.6,85.6,,63.0 L,63.0,L,73.1,73.1,,92,92,,47,47,,69 K,69,K,62.0 K,62.0,K,2.6 K,2.6,K,74.0,74.0,
78,Aug 2015,6.39,6.39,,0.13 K,0.13,K,590 K,590,K,18.5,18.5,,90.4 K,90.4,K,63.6 L,63.6,L,75.9 K,75.9,K,90,90,,39,39,,62 K,62,K,61.1 K,61.1,K,2.3 K,2.3,K,74.1,74.1,
78,Sep 2015,5.04 K,5.04,K,1.46 K,1.46,K,486 K,486,K,18.6 K,18.6,K,90.4,90.4,,63.9 L,63.9,L,76.1 K,76.1,K,90,90,,39,39,,61 K,61,K,61.2 K,61.2,K,2.2 K,2.2,K,74.5,74.5,
