region_cd,year,runoff_mmd,rank,percentile
CA,1901,0.83636,32,72.41
CA,1902,0.71645,43,62.93
CA,1903,0.77619,38,67.24
CA,1904,1.07460,16,86.21
CA,1905,0.77411,39,66.38
CA,1906,1.27603,6,94.83
CA,1907,1.53780,2,98.28
CA,1908,0.54668,63,45.69
CA,1909,1.32450,4,96.55
CA,1910,0.83985,31,73.28
CA,1911,1.23247,8,93.10
CA,1912,0.53394,64,44.83
CA,1913,0.52805,65,43.97
CA,1914,1.19226,9,92.24
CA,1915,0.93065,22,81.03
CA,1916,1.28409,5,95.69
CA,1917,0.68111,46,60.34
CA,1918,0.44027,76,34.48
CA,1919,0.51779,67,42.24
CA,1920,0.36909,91,21.55
CA,1921,0.81238,33,71.55
CA,1922,0.90952,25,78.45
CA,1923,0.54691,62,46.55
CA,1924,0.20827,113,2.59
CA,1925,0.60766,55,52.59
CA,1926,0.47328,72,37.93
CA,1927,0.91814,23,80.17
CA,1928,0.51386,68,41.38
CA,1929,0.29089,103,11.21
CA,1930,0.39184,87,25.00
CA,1931,0.18754,114,1.72
CA,1932,0.55388,61,47.41
CA,1933,0.35372,94,18.97
CA,1934,0.28712,106,8.62
CA,1935,0.59048,58,50.00
CA,1936,0.63978,52,55.17
CA,1937,0.66800,48,58.62
CA,1938,1.36684,3,97.41
CA,1939,0.33334,100,13.79
CA,1940,0.77770,37,68.10
CA,1941,1.12569,12,89.66
CA,1942,0.86532,30,74.14
CA,1943,0.86988,28,75.86
CA,1944,0.41616,80,31.03
CA,1945,0.59709,57,50.86
CA,1946,0.64938,50,56.90
CA,1947,0.36127,92,20.69
CA,1948,0.47514,71,38.79
CA,1949,0.42357,79,31.90
CA,1950,0.46540,74,36.21
CA,1951,0.79067,36,68.97
CA,1952,1.09912,13,88.79
CA,1953,0.69399,44,62.07
CA,1954,0.63850,53,54.31
CA,1955,0.35518,93,19.83
CA,1956,1.05242,17,85.34
CA,1957,0.47972,69,40.52
CA,1958,1.16291,11,90.52
CA,1959,0.40165,83,28.45
CA,1960,0.39440,85,26.72
CA,1961,0.37611,90,22.41
CA,1962,0.44947,75,35.34
CA,1963,0.68248,45,61.21
CA,1964,0.34666,96,17.24
CA,1965,0.77366,40,65.52
CA,1966,0.46803,73,37.07
CA,1967,0.80179,34,70.69
CA,1968,0.38262,89,23.28
CA,1969,1.07684,15,87.07
CA,1970,0.67808,47,59.48
CA,1971,0.64802,51,56.03
CA,1972,0.42941,77,33.62
CA,1973,0.61452,54,53.45
CA,1974,0.95311,19,83.62
CA,1975,0.59861,56,51.72
CA,1976,0.28913,104,10.34
CA,1977,0.11969,115,0.86
CA,1978,0.89368,26,77.59
CA,1979,0.42707,78,32.76
CA,1980,0.88049,27,76.72
CA,1981,0.33185,101,12.93
CA,1982,1.01741,18,84.48
CA,1983,1.56067,1,99.14
CA,1984,0.77333,41,64.66
CA,1985,0.39978,84,27.59
CA,1986,0.86921,29,75.00
CA,1987,0.33436,99,14.66
CA,1988,0.31590,102,12.07
CA,1989,0.40547,82,29.31
CA,1990,0.26891,109,6.03
CA,1991,0.25942,111,4.31
CA,1992,0.28769,105,9.48
CA,1993,0.93283,21,81.90
CA,1994,0.26089,110,5.17
CA,1995,1.18344,10,91.38
CA,1996,0.76957,42,63.79
CA,1997,0.91566,24,79.31
CA,1998,1.26131,7,93.97
CA,1999,0.66771,49,57.76
CA,2000,0.52280,66,43.10
CA,2001,0.28196,107,7.76
CA,2002,0.41070,81,30.17
CA,2003,0.58356,59,49.14
CA,2004,0.47858,70,39.66
CA,2005,0.80129,35,69.83
CA,2006,1.09720,14,87.93
CA,2007,0.33623,98,15.52
CA,2008,0.39326,86,25.86
CA,2009,0.34032,97,16.38
CA,2010,0.55517,60,48.28
CA,2011,0.94454,20,82.76
CA,2012,0.38623,88,24.14
CA,2013,0.35053,95,18.10
CA,2014,0.21083,112,3.45
CA,2015,0.28160,108,6.90
