map_index,site,,site_name,most_recent_measurement,date,well_depth
1,340535117573501,,001S010W07R002S,205.79 BLS,1/30/2015,285,
2,342631117445101,,004N008W07R001S,118.84 BLS,3/6/2015,,
3,342706118114501,,004N013W12C003S,38.81 BLS,3/3/2015,115,
4,342713117453001,,004N008W07C001S,240.52 BLS,3/4/2015,280.,
5,342827117495801,,005N009W33D001S,258.4  BLS,3/3/2015,,
6,342900117500301,,005N009W33D002S,246.11 BLS,1/13/2015,435,
7,342918117393901,,005N008W25J001S,570    BLS,12/1/2014,1110,
8,342950117405601,,005N008W26B002S,491.19 BLS,3/4/2015,1000,
9,342953117410201,,005N008W26B003S,491.28 BLS,10/16/2014,980,
10,343045117394301,,005N008W24A001S,378.53 BLS,3/4/2015,,
11,343051117563001,,005N010W17R001S,260.31 BLS,3/4/2015,,
12,343150117452101,,005N008W07Q001S,290.27 BLS,1/12/2015,400,
13,343155117501001,,005N009W08J001S,155.74 BLS,3/2/2015,,
14,343205117525801,,005N010W12M002S,72.5  BLS,3/3/2015,115.9,
15,343237117582601,,005N010W06N001S,132.44 BLS,3/6/2015,303.8,
16,343242117500601,,005N009W05R002S,113.18 BLS,3/2/2015,137.3,
17,343302117461601,,005N009W01G001S,187.71 BLS,3/4/2015,,
18,343328117495001,,005N009W04C001S,115.40 BLS,3/2/2015,,
19,343330117501701,,006N009W33P001S,97.10 BLS,7/27/2015,515,
20,343331117455301,,006N008W31P001S,174.57 BLS,3/4/2015,,
21,343356117500701,,006N009W33G001S,79.34 BLS,3/2/2015,,
22,343404117593101,,006N011W36G001S,136.93 BLS,7/27/2015,572,
23,343418117431001,,006N008W34D001S,133.97 BLS,3/4/2015,,
24,343419118044401,,006N011W31A001S,218.79 BLS,3/3/2015,444,
25,343420117535501,,006N010W35A001S,57.12 BLS,3/2/2015,80.5,
26,343422117505801,,006N009W29Q001S,55.59 BLS,3/18/2014,100,
27,343441117581401,,006N010W30J002S,161.16 BLS,3/3/2015,380,
28,343448117501601,,006N009W28F001S,53.69 BLS,3/2/2015,,
29,343450117522501,,006N009W30F001S,49.78 BLS,3/2/2015,92.3,
30,343503117431501,,006N008W28A002S,83.52 BLS,3/4/2015,,
31,343513117581001,,006N010W30A002S,202.05 BLS,3/2/2015,287,
32,343515117495201,,006N009W21R001S,41.77 BLS,3/2/2015,,
33,343515117575601,,006N010W20N001S,192.09 BLS,3/3/2015,286,
34,343515118101401,,006N012W29B001S,110.10 BLS,3/29/2015,220,
35,343522118095701,,006N012W20R001S,280.85 BLS,5/13/2015,390,
36,343546118091601,,006N012W21G001S,479.18 BLS,5/13/2015,620,
37,343546118091603,,006N012W21G003S,298.13 BLS,4/12/2011,350.00,
38,343557117554801,,006N010W22D001S,157.0  BLS,3/3/2015,200,
39,343726117514501,,006N009W07J001S,138.84 BLS,7/27/2015,243,
40,343741118110301,,006N012W07A001S,282.31 BLS,3/25/2014,432,
41,343813117570201,,006N010W04M001S,220.71 BLS,3/3/2015,292.2,
42,343824117493801,,006N009W04H002S,184.46 BLS,3/2/2015,,
43,343832117564701,,006N010W04F002S,278.15 BLS,3/3/2015,,
44,343903118074801,,007N012W27J005S,353.56 BLS,7/28/2015,700,
45,343909118053601,,007N011W31M001S,349.25 BLS,3/3/2015,386,
46,343932118144001,,007N013W34B001S,221.94 BLS,7/28/2015,475,
47,343939117573501,,007N010W29Q001S,332.88 BLS,3/2/2015,370.5,
48,343939118013701,,007N011W27Q001S,329.95 BLS,3/3/2015,650,
49,343939118025201,,007N011W28Q001S,329.05 BLS,3/3/2015,,
50,343951118065902,,007N012W26K003S,351.66 BLS,3/5/2015,674,
51,344000118130601,,007N013W26J002S,268.90 BLS,7/28/2015,606,
52,344003118074801,,007N012W27H005S,279.53 BLS,3/4/2015,1120,
53,344004118075901,,007N012W27H001S,340.60 BLS,3/26/2008,500,
54,344005118034401,,007N011W29G001S,303.73 BLS,3/3/2015,,
55,344005118082201,,007N012W27F005S,268.85 BLS,3/4/2015,935,
56,344005118082202,,007N012W27F006S,366.05 BLS,3/4/2015,735,
57,344005118082203,,007N012W27F007S,351.44 BLS,3/4/2015,535,
